kep_id,num_points,time_span,mean_flux,median_flux,std_flux,max_flux,min_flux,range_flux,koi_period,koi_duration,koi_depth,koi_prad,koi_ror,koi_dor,koi_sma,koi_impact,koi_model_snr,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,label
8255887,64797,1459.489016118045,0.99985272857288,1.0,0.0012119823634598,1.016493558883667,0.990787386894226,0.0257061719894409,4.708326451,3.16114,7912.7,10.6,0.080242,12.288,0.0539,0.061,633.4,431.02,1162.0,5560.0,4.246,1.21,1
10281311,64793,1459.4891672578742,1.0000139925686795,1.0,0.0005247202784709,1.0366288423538208,0.9963080286979676,0.0403208136558532,234.6631919,7.627,243.5,1.68,0.014339,238.32073,0.7751,0.029,5.0,2.73,328.0,6306.0,4.426,1.076,0
5991765,65267,1470.46227009203,1.0000037920844504,1.0,0.0002080715324703,1.0089823007583618,0.9987103939056396,0.0102719068527221,9.25801294,2.854,88.1,1.73,0.00865,24.57,0.0908,0.186,12.9,539.51,1229.0,6200.0,3.977,1.834,0
9818381,64792,1459.4892318666898,0.99974256254211,1.0,0.0015760605383427,1.0132105350494385,0.989231824874878,0.0239787101745605,3.024092505,2.8021,7765.0,12.14,0.081878,8.238,0.0438,0.424,1225.3,1162.54,1489.0,6063.0,4.261,1.358,1
8179190,64793,1459.4890275237194,1.0000201452402673,1.0,0.0010168491539075,1.0060824155807495,0.9975113272666932,0.0085710883140563,0.662457501,1.527,64.1,8.3,0.035206,1.142,0.016,1.024,13.5,27795.08,3295.0,6425.0,3.862,2.16,0
12268220,65266,1470.4625083141143,0.997937751303842,1.0,0.0174021120892609,1.0350173711776731,0.9006298184394836,0.1343875527381897,4.42158021,10.4532,61032.0,188.89,0.499778,3.377,0.0659,1.146,370.6,10243.23,2565.0,8026.0,3.65,3.461,0
3839294,65268,1470.4622600211442,1.000000014403451,1.0,0.0003921854550447,1.0098072290420532,0.9961501359939576,0.0136570930480957,137.665706,3.732,536.9,15.41,0.020465,287.4,0.6051,0.041,11.7,63.38,720.0,4832.0,2.953,6.897,0
11867733,64794,1459.4892853136623,1.0000083848880492,1.0,0.0003713671127963,1.0397348403930664,0.9984371662139891,0.0412976741790771,384.356448,3.872,715.7,3.03,0.027912,441.0,1.0366,0.848,13.2,1.0,255.0,5903.0,4.445,0.994,0
10924562,54965,1238.6035186489462,1.0000180881038372,1.0,0.0006526258999894,1.0710766315460205,0.9970142245292664,0.0740624070167541,18.6052046,6.829,242.5,1.94,0.014369,21.03,0.1499,0.093,13.1,113.88,833.0,6572.0,4.365,1.238,1
3098184,54966,1238.6053633968768,0.9992227894462266,1.0,0.0068399509582761,1.0381704568862915,0.8599629402160645,0.178207516670227,15.2384539,19.292,7019.0,9.84,0.082932,4.85,0.1253,0.74,56.0,111.67,829.0,6384.0,4.419,1.086,0
10668665,54965,1238.6036299977786,1.0000218882352956,1.0,0.0007097323905434,1.0657693147659302,0.9972667694091796,0.0685025453567504,9.60853601,3.672,584.4,31.99,0.253008,5.06,0.0946,1.229,19.3,221.77,984.0,6377.0,4.398,1.158,0
7841986,64796,1459.4889956845946,0.9998337594491332,1.0,0.0012154113585017,1.0224214792251587,0.9912947416305542,0.0311267375946044,10.73370737,7.6706,6155.3,18.7,0.085487,6.634,0.1013,0.895,239.5,444.77,1171.0,5971.0,3.914,2.003,0
8628758,64793,1459.4890769802369,0.9999981210282672,1.0,0.0002444609437653,1.013372540473938,0.9978806972503662,0.0154918432235717,12.013229514999999,4.5426,219.5,1.51,0.0129405,20.25,0.10045,0.0785,37.5,117.78,834.5,5768.0,4.358,1.067,1
10416390,41903,1238.6033816149356,1.0000126325930228,1.0,0.0015633682327528,1.0746663808822632,0.989071011543274,0.0855953693389892,215.737826,7.257,8476.0,8.71,0.110112,142.3,0.6304,0.916,36.8,0.67,231.0,4889.0,4.574,0.724,0
11669125,65264,1470.4624818544253,0.9999946107177808,1.0,0.0002088572617183,1.007465124130249,0.9984793663024902,0.0089857578277587,70.6981724,6.632,357.7,1.63,0.017221,82.82,0.328,0.026,37.7,7.11,417.0,5811.0,4.536,0.866,1
11246364,64792,1459.4892460221672,1.000003569422386,1.0,0.0002858424249499,1.0123248100280762,0.998507559299469,0.0138172507286071,200.0,7.27,444.1,2.51,0.021816,14.94,0.08399999999999999,0.545,23.4,168.45,906.0,5780.0,4.438,1.0,0
5649956,63174,1421.2354946505438,0.9979824820748572,1.0,0.015505142915039,1.0385209321975708,0.9194079041481018,0.119113028049469,1.207852845,3.5802,49720.0,38.59,0.443443,2.67,0.0205,1.113,205.9,1331.31,1539.0,5601.0,4.533,0.797,0
9543302,51732,1459.4891001759606,0.9999413690463872,1.0,0.0016452059081121,1.006933569908142,0.993468701839447,0.013464868068695,13.0366377,3.184,154.6,2.23,0.012166,22.77,0.1102,0.7039,15.4,283.97,1047.0,6084.0,4.009,1.677,0
12644774,54967,1238.6036632215328,0.9999928164697256,1.0,0.000647110921378,1.0189146995544434,0.9912868142127992,0.0276278853416442,41.0772969,5.525,1216.8,3.25,0.03173,58.58,0.2138,0.03,28.8,17.74,523.0,5665.0,4.381,0.938,0
6437617,64797,1459.4889952403246,1.000005797534813,1.0,0.0002745973912237,1.0129307508468628,0.9935197830200196,0.0194109678268432,293.60581,11.07,165.3,1.37,0.011798,204.1,0.9057,0.0927,8.4,1.79,295.0,6167.0,4.444,1.064,0
10723750,64793,1459.489245648139,0.9999392948113396,1.0,0.0006281413357731,1.0127664804458618,0.9917941093444824,0.0209723711013793,34.79312962,9.18545,4051.25,8.995,0.0585865,26.5945,0.21035,0.3765,395.55,78.88,732.0,6163.0,4.185,1.406,1
5876805,54970,1238.6044330293444,0.9989880127051928,1.0,0.0076835428766743,1.0408905744552612,0.9245259761810304,0.1163645982742309,18.17304501,10.9113,69911.0,24.39,0.259673,13.5693,0.1332,0.674,1820.5,42.19,650.0,5799.0,4.548,0.86,0
7212184,64794,1459.4889827744555,1.0000150058966204,1.0,0.0004970329549426,1.0381817817687988,0.9968151450157166,0.0413666367530822,36.292017,8.198,374.7,3.1,0.01758,34.42,0.2226,0.002,21.4,54.91,694.0,5843.0,4.069,1.615,1
3545135,65265,1470.4622362493683,1.0000007513062046,1.0,0.0001108578906648,1.0031667947769165,0.9981128573417664,0.0050539374351501,8.48299282,2.505,69.1,0.8,0.007876,21.6,0.0798,0.564,21.3,141.04,879.0,5827.0,4.471,0.933,1
5709226,64798,1459.48893472668,1.0000134431065562,1.0,0.0004605623964328,1.026089072227478,0.9965197443962096,0.0295693278312683,317.99484,7.28,719.0,2.22,0.024768,314.0,0.8831,0.405,8.4,0.79,241.0,5665.0,4.568,0.82,0
5556804,54969,1238.6038148509033,1.0000167659606396,1.0,0.0007740570124312,1.0398305654525757,0.9967576861381532,0.0430728793144226,12.4244306,26.15,214.1,1.59,0.018455,1.419,0.1003,0.98,15.5,61.31,714.0,5761.0,4.581,0.791,0
7124613,65262,1470.4623171570347,0.9999760022577964,1.0,0.0005441758855885,1.0079525709152222,0.9976484775543212,0.0103040933609008,4.41746257,2.965,291.0,3.95,0.015765,11.537,0.0589,0.085,22.6,2536.07,1810.0,6570.0,3.86,2.297,1
7659389,54965,1238.6053407596264,0.999973516639691,1.0,0.0052992026951478,1.0190643072128296,0.9781146049499512,0.0409497022628784,3.8259005,1.8057,857.2,3.45,0.03572,6.71,0.0465,0.951,20.3,241.25,1005.0,5223.0,4.505,0.885,1
2571075,64794,1459.488846000655,1.0000255534828242,1.0,0.000914882669831,1.091237187385559,0.9930643439292908,0.0981728434562683,1.89134201,4.674,128.9,0.92,0.01037,3.098,0.0289,0.2376,8.9,729.42,1325.0,5658.0,4.567,0.815,0
10535926,64814,1459.4892035222729,1.0000089514682966,1.0,0.0004055111346731,1.029379963874817,0.9981854557991028,0.0311945080757141,0.93373591,4.517,35.1,0.57,0.00545,1.675,0.0185,0.21,10.8,3116.05,1904.0,6028.0,4.47,0.95,0
5942093,40345,1205.562687021411,1.0000201011061565,1.0,0.0006854347480209,1.0549911260604858,0.9933226704597472,0.0616684556007385,14.38724729,1.9078,1914.1,29.24,0.311666,20.6,0.108,1.262,43.5,65.41,725.0,5830.0,4.479,0.859,0
5128966,54970,1238.603700638174,0.9974409119994376,1.0,0.0285187940189392,1.2426598072052002,0.7789322733879089,0.4637275338172912,0.505322676,5.2727,77349.0,46.59,0.461721,1.477361,0.0123,1.036,384.6,6291.87,2275.0,5941.0,4.49,0.924,0
11231334,51972,1470.462508237586,0.9999251260586244,1.0,0.0012863270785478,1.0052038431167605,0.9942739605903624,0.0109298825263977,4.15743922,9.572,1472.0,96.99,0.283683,1.65,0.0595,1.242,52.5,4503.26,2089.0,6529.0,3.657,3.131,0
7031992,64794,1459.4890121296266,1.0000162553854568,1.0,0.0005700351785172,1.016350507736206,0.9912103414535522,0.0251401662826538,0.56679293,3.814,101.1,0.86,0.009188,1.3,0.0132,0.18,22.1,4264.42,2064.0,5812.0,4.551,0.853,0
3858949,51817,1459.4888551306503,0.999995359937662,1.0,0.0004726177846065,1.0160939693450928,0.9973279237747192,0.0187660455703735,25.9518461,14.581,1058.5,22.32,0.256824,4.3,0.1649,1.22,65.8,17.37,521.0,5372.0,4.584,0.796,0
